Season,Team,Player,Pos,TotalPoints,TotalPointsAboveAvg
2023,Notre Dame,Jayden Thomas,WR,4,-1
2023,Notre Dame,Davis Sherwood,TE,3,0
2023,Notre Dame,Junior Tuihalamaka,Edge,2,-5
2023,Notre Dame,Gi'Bran Payne,RB,-3,-8
2023,Ohio,Kurtis Rourke,QB,68,22
2023,Ohio,Bryce Houston,LB,50,18
2023,Ohio,Walter Reynolds,S,37,5
2023,Ohio,Keye Thompson,LB,33,5
2023,Ohio,Adonis Williams Jr.,CB,30,3
2023,Ohio,Kurt Danneker,LG,29,4
2023,Ohio,Torrie Cox Jr.,CB,27,6
2023,Ohio,Parker Titsworth,C,26,0
2023,Ohio,Jay Amburgey,LT,24,-2
2023,Ohio,Bradley Weaver,Edge,21,5
2023,Ohio,Shedrick Rhodes Jr.,RT,20,-3
2023,Ohio,Justin Birchette,CB,20,-3
2023,Ohio,Christophe Atkinson,RG,19,-5
2023,Ohio,Roman Parodie,CB,18,-1
2023,Ohio,Vonnie Watkins,Edge,16,-7
2023,Ohio,Rayyan Buell,IDL,15,-4
2023,Ohio,Miles Cross,WR,14,5
2023,Ohio,Shane Bonner,Edge,14,-6
2023,Ohio,Jeremiah Wood,CB,14,0
2023,Ohio,Austin Brawley,S,13,-8
2023,Ohio,Parker Navarro,QB,12,7
2023,Ohio,Bralen Henderson,IDL,12,4
2023,Ohio,Kwame Sutton,IDL,11,3
2023,Ohio,Tank Pearson,CB,10,2
2023,Ohio,Rodney Mathews,IDL,9,-9
2023,Ohio,CJ Harris,QB,8,2
2023,Ohio,Sam Wiglusz,WR,6,-4
2023,Ohio,Tyler Walton,WR,6,-2
2023,Ohio,Tyler Foster,TE,5,-3
2023,Ohio,Jacob Dennison,RT,5,1
2023,Ohio,Shay Taylor,LB,4,-1
2023,Ohio,Jacoby Jones,WR,4,3
2023,Ohio,Tristan Cox,IDL,3,-3
2023,Ohio,Chase Hendricks,WR,2,-1
2023,Ohio,Bryce Butler,TE,1,-1
2023,Ohio,Will Kacmarek,TE,-1,-12
2023,Ohio,Sieh Bangura,RB,-6,-18
2023,Ohio,O'Shaan Allison,RB,-25,-33
2023,Ohio State,Kyle McCord,QB,85,33
2023,Ohio State,Marvin Harrison Jr.,WR,46,36
2023,Ohio State,Jordan Hancock,CB,44,20
2023,Ohio State,Davison Igbinosun,CB,41,11
2023,Ohio State,Tyleik Williams,IDL,39,15
2023,Ohio State,Jack Sawyer,Edge,38,14
2023,Ohio State,Tommy Eichenberg,LB,38,15
2023,Ohio State,Josh Simmons,LT,37,10
2023,Ohio State,Donovan Jackson,LG,35,8
2023,Ohio State,Matthew Jones,RG,33,7
2023,Ohio State,Josh Proctor,S,33,9
2023,Ohio State,Josh Fryar,RT,31,5
2023,Ohio State,Lathan Ransom,S,29,11
2023,Ohio State,Cade Stover,TE,29,11
2023,Ohio State,Denzel Burke,CB,27,4
2023,Ohio State,Carson Hinzman,C,26,2
2023,Ohio State,Steele Chambers,LB,25,0
2023,Ohio State,Sonny Styles,S,24,3
2023,Ohio State,J.T. Tuimoloau,Edge,24,-2
2023,Ohio State,Jermaine Mathews Jr.,CB,23,15
2023,Ohio State,Ty Hamilton,IDL,23,9
2023,Ohio State,Michael Hall Jr.,IDL,20,4
2023,Ohio State,Cody Simon,LB,18,3
2023,Ohio State,TreVeyon Henderson,RB,17,6
2023,Ohio State,Xavier Johnson,WR,12,7
2023,Ohio State,Gee Scott Jr.,TE,9,-2
2023,Ohio State,Carnell Tate,WR,8,3
2023,Ohio State,Emeka Egbuka,WR,8,-1
2023,Ohio State,DeaMonte Trayanum,RB,8,2
2023,Ohio State,Julian Fleming,WR,7,-4
2023,Ohio State,Malik Hartford,S,4,-3
2023,Ohio State,Kenyatta Jackson Jr.,Edge,3,-4
2023,Ohio State,Caden Curry,Edge,2,-5
2023,Ohio State,Ja'had Carter,S,2,-3
2023,Ohio State,Miyan Williams,RB,1,-1
2023,Ohio State,Enokk Vimahi,RG,0,-3
2023,Oklahoma,Dillon Gabriel,QB,127,77
2023,Oklahoma,Danny Stutsman,LB,64,39
2023,Oklahoma,Billy Bowman Jr.,S,51,25
2023,Oklahoma,Woodi Washington,CB,39,10
2023,Oklahoma,Kendel Dolby,CB,37,21
2023,Oklahoma,Walter Rouse,LT,34,12
2023,Oklahoma,Andrew Raym,C,32,9
2023,Oklahoma,Tawee Walker,RB,25,20
2023,Oklahoma,Kani Walker,CB,25,10
2023,Oklahoma,Nic Anderson,WR,24,16
2023,Oklahoma,McKade Mettauer,RG,23,1
2023,Oklahoma,Tyler Guyton,RT,23,6
2023,Oklahoma,Ethan Downs,Edge,22,5
2023,Oklahoma,Austin Stogner,TE,22,4
2023,Oklahoma,Dasan McCullough,LB,22,13
2023,Oklahoma,Drake Stoops,WR,22,12
2023,Oklahoma,Reggie Pearson,S,21,7
2023,Oklahoma,Rondell Bothroyd,Edge,21,3
2023,Oklahoma,Kip Lewis,LB,21,9
2023,Oklahoma,Isaiah Coe,IDL,19,7
2023,Oklahoma,Gentry Williams,CB,18,5
2023,Oklahoma,Cayden Green,LG,17,2
2023,Oklahoma,Jaren Kanak,LB,16,-4
2023,Oklahoma,Jalil Farooq,WR,15,5
2023,Oklahoma,Troy Everett,LG,15,5
2023,Oklahoma,Peyton Bowen,S,14,1
2023,Oklahoma,Robert Spears-Jennings,S,14,6
2023,Oklahoma,Jordan Kelley,IDL,13,3
2023,Oklahoma,Andrel Anthony,WR,11,8
2023,Oklahoma,Trace Ford,Edge,11,0
2023,Oklahoma,Jackson Arnold,QB,10,0
2023,Oklahoma,Jayden Gibson,WR,10,7
2023,Oklahoma,Da'Jon Terry,IDL,10,0
2023,Oklahoma,Jonah Laulu,IDL,9,-1
2023,Oklahoma,Jacob Sexton,RT,9,-2
2023,Oklahoma,Jacob Lacey,IDL,9,-4
2023,Oklahoma,Kobie McKinzie,LB,8,2
2023,Oklahoma,Key Lawrence,S,8,-6
2023,Oklahoma,Gavin Sawchuk,RB,7,-1
2023,Oklahoma,Savion Byrd,LG,7,3
2023,Oklahoma,Marcus Major,RB,7,3
2023,Oklahoma,Gavin Freeman,WR,5,3
2023,Oklahoma,Caleb Shaffer,RG,4,0
2023,Oklahoma,R Mason Thomas,Edge,4,-2
2023,Oklahoma,Adepoju Adebawore,Edge,2,-4
2023,Oklahoma,Marcus Stripling,Edge,1,-4
2023,Ole Miss,Jaxson Dart,QB,126,73
2023,Ole Miss,Quinshon Judkins,RB,48,33
2023,Ole Miss,Trey Washington,S,41,12
2023,Ole Miss,Deantre Prince,CB,38,9
2023,Ole Miss,Tre Harris,WR,35,26
2023,Ole Miss,John Saunders Jr.,S,35,8
2023,Ole Miss,Zamari Walton,CB,33,8
2023,Ole Miss,Jared Ivey,IDL,33,13
2023,Ole Miss,Ashanti Cistrunk,LB,30,16
2023,Ole Miss,Jordan Watkins,WR,26,15
2023,Ole Miss,JJ Pegues,IDL,26,7
2023,Ole Miss,Caleb Warren,C,26,3
2023,Ole Miss,Dayton Wade,WR,25,14
2023,Ole Miss,Victor Curne,LT,24,2
2023,Ole Miss,Daijahn Anthony,CB,23,-3
2023,Ole Miss,Jeremy James,RG,23,-1
2023,Ole Miss,Quincy McGee,LG,22,-4
2023,Ole Miss,Caden Prieskorn,TE,21,7
2023,Ole Miss,Zxavian Harris,IDL,20,12
2023,Ole Miss,Ulysses Bentley IV,RB,18,14
2023,Ole Miss,Khari Coleman,LB,17,3
2023,Ole Miss,Jeremiah Jean-Baptiste,LB,16,0
2023,Ole Miss,Isaac Ukwu,Edge,16,-4
2023,Ole Miss,Cedric Johnson,Edge,16,-2
2023,Ole Miss,Akelo Stone,IDL,15,6
2023,Ole Miss,Micah Pettus,RT,12,-5
2023,Ole Miss,Suntarine Perkins,Edge,12,0
2023,Ole Miss,Chris Graves,CB,10,5
2023,Ole Miss,Reece McIntyre,C,9,0
2023,Ole Miss,Jayden Williams,LT,7,0
2023,Ole Miss,Demarko Williams,CB,6,1
2023,Ole Miss,Eli Acker,RG,5,0
2023,Ole Miss,Kyirin Heath,TE,5,2
2023,Ole Miss,Joshua Harris,IDL,4,-1
2023,Ole Miss,Stephon Wynn Jr.,IDL,3,-3
2023,Ole Miss,Monty Montgomery,LB,3,-4
2023,Ole Miss,Teja Young,S,2,-3
2023,Ole Miss,Cayden Lee,WR,2,0
2023,Ole Miss,Ayden Williams,WR,2,0
2023,Ole Miss,DeShawn Gaddie Jr.,CB,1,-5
2023,Ole Miss,Isheem Young,S,1,-3
2023,Ole Miss,Jamond Gordon,IDL,0,-9
2023,Ole Miss,Ladarius Tennison,CB,0,-13
2023,Ole Miss,Zakhari Franklin,WR,-4,-6
2023,Oregon,Bo Nix,QB,141,75
2023,Oregon,Evan Williams,S,67,38
2023,Oregon,Bucky Irving,RB,52,39
2023,Oregon,Tysheem Johnson,CB,45,14
2023,Oregon,Jeffrey Bassa,LB,41,13
2023,Oregon,Josh Conerly Jr.,LT,40,14
2023,Oregon,Khyree Jackson,CB,40,20
2023,Oregon,Jackson Powers-Johnson,C,38,15
2023,Oregon,Ajani Cornelius,RT,38,13
2023,Oregon,Steve Stephens IV,S,35,9
2023,Oregon,Troy Franklin,WR,31,20
2023,Oregon,Marcus Harper II,LG,31,10
2023,Oregon,Jordan James,RB,31,25
2023,Oregon,Brandon Dorlus,IDL,29,7
2023,Oregon,Steven Jones,RG,29,8
2023,Oregon,Jamal Hill,LB,24,9
2023,Oregon,Tez Johnson,WR,24,15
2023,Oregon,Nikko Reed,CB,22,6
2023,Oregon,Terrance Ferguson,TE,20,5
2023,Oregon,Dontae Manning,CB,20,5
2023,Oregon,Jordan Burch,Edge,18,2
2023,Oregon,Traeshon Holden,WR,17,9
2023,Oregon,Casey Rogers,IDL,17,4
2023,Oregon,Iapani Laloulu,RG,17,5
2023,Oregon,Patrick Herbert,TE,17,4
2023,Oregon,Taki Taimani,IDL,17,4
2023,Oregon,Jahlil Florence,CB,16,2
2023,Oregon,Bryce Boettcher,LB,13,5
2023,Oregon,Popo Aumavae,IDL,12,-1
2023,Oregon,Mase Funa,Edge,11,0
2023,Oregon,Trikweze Bridges,CB,10,2
2023,Oregon,Jestin Jacobs,LB,10,-2
2023,Oregon,Teitum Tuioti,Edge,9,-1
2023,Oregon,Cole Martin,S,9,3
2023,Oregon,Keyon Ware-Hudson,IDL,9,0
2023,Oregon,Casey Kelly,TE,8,1
2023,Oregon,Matayo Uiagalelei,Edge,7,-6
2023,Oregon,Gary Bryant Jr.,WR,5,-4
2023,Oregon,Devon Jackson,LB,5,-2
2023,Oregon,Emar'rion Winston,Edge,4,-5
2023,Oregon,Dave Iuli,LG,4,1
2023,Oregon,Bryan Addison,S,3,-1
2023,Oregon,Blake Purchase,Edge,3,-4
2023,Oregon,Jake Shipley,Edge,-1,-5
2023,Oregon,Kyler Kasper,WR,-3,-5
2023,Penn State,Drew Allar,QB,123,68
2023,Penn State,Abdul Carter,LB,47,22
2023,Penn State,Kevin Winston Jr.,S,37,16
2023,Penn State,Adisa Isaac,Edge,37,20
2023,Penn State,Chop Robinson,Edge,31,18
2023,Penn State,Olumuyiwa Fashanu,LT,31,10
2023,Penn State,Sal Wormley,RG,28,6
2023,Penn State,Hunter Nourzad,C,27,4
2023,Penn State,Kaytron Allen,RB,26,16
2023,Penn State,DaeQuan Hardy,CB,25,8
2023,Penn State,Kobe King,LB,24,8
2023,Penn State,Dani Dennis-Sutton,Edge,24,7
2023,Penn State,Caedan Wallace,RT,23,4
2023,Penn State,Curtis Jacobs,LB,23,5
2023,Penn State,Johnny Dixon,CB,23,3
2023,Penn State,Jaylen Reed,S,23,1
2023,Penn State,Kalen King,CB,23,4
2023,Penn State,Zane Durant,IDL,22,9
2023,Penn State,Olaivavega Ioane,LG,22,3
2023,Penn State,Theo Johnson,TE,22,8
2023,Penn State,Tyler Warren,TE,21,5
2023,Penn State,Dominic DeLuca,LB,21,11
2023,Penn State,Dvon J-Thomas,IDL,18,5
2023,Penn State,Tony Rojas,LB,14,9
2023,Penn State,JB Nelson,LG,13,1
2023,Penn State,Coziah Izzard,IDL,11,1
2023,Penn State,Cam Miller,CB,11,-2
2023,Penn State,Keaton Ellis,S,11,1
2023,Penn State,Drew Shelton,RT,10,-1
2023,Penn State,Hakeem Beamon,IDL,10,-3
2023,Penn State,Zakee Wheatley,S,9,-2
2023,Penn State,Beau Pribula,QB,8,3
2023,Penn State,Jordan van den Berg,IDL,7,0
2023,Penn State,Nick Dawkins,C,7,2
2023,Penn State,Zuriah Fisher,Edge,7,-3
2023,Penn State,Amin Vanover,Edge,6,0
2023,Penn State,Tyler Elsdon,LB,6,-1
2023,Penn State,Zion Tracy,CB,4,-2
2023,Penn State,Omari Evans,WR,4,2
2023,Penn State,Malik McClain,WR,3,0
2023,Penn State,Khalil Dinkins,TE,3,1
2023,Penn State,Liam Clifford,WR,3,0
2023,Penn State,KeAndre Lambert-Smith,WR,3,-5
2023,Penn State,Trey Potts,RB,3,1
2023,Penn State,Dante Cephas,WR,1,-4
2023,Penn State,Kaden Saunders,WR,1,-1
2023,Penn State,Harrison Wallace III,WR,0,-5
2023,Penn State,Nicholas Singleton,RB,-3,-13
2023,SMU,Preston Stone,QB,79,33
2023,SMU,Kevin Jennings,QB,40,24
2023,SMU,Isaiah Nwokobia,S,39,18
2023,SMU,Elijah Roberts,Edge,38,14
2023,SMU,Branson Hickman,C,32,6
2023,SMU,Kobe Wilson,LB,32,12
2023,SMU,Logan Parr,LG,28,7
2023,SMU,Elijah Chatman,IDL,27,9
2023,SMU,Ahmad Walker,LB,26,2
2023,SMU,Jonathan McGill,S,26,-2
2023,SMU,Cale Sanders Jr.,CB,24,6
2023,SMU,Ben Sparks,RG,23,5
2023,SMU,Ahmaad Moses,S,21,8
2023,SMU,Charles Woods,CB,20,0
2023,SMU,Kori Roberson,IDL,20,7
2023,SMU,Isaiah Smith,Edge,20,11
2023,SMU,Jaelyn Davis-Robinson,CB,19,6
2023,SMU,Nelson Paul,Edge,19,4
2023,SMU,Justin Osborne,RT,18,0
2023,SMU,Alexander Kilgore,LB,17,6
2023,SMU,Marcus Bryant,LT,17,-2
2023,SMU,Hyrin White,RT,16,1
2023,SMU,Chris Megginson,CB,15,-7
2023,SMU,Roderick Daniels Jr.,WR,13,8
2023,SMU,Bryan Massey,S,13,3
2023,SMU,Chris Adimora,LB,12,1
2023,SMU,RJ Maryland,TE,11,-1
2023,SMU,Jake Bailey,WR,11,3
2023,SMU,Cameron Robertson,Edge,11,0
2023,SMU,Moochie Dixon,WR,10,4
2023,SMU,PJ Williams,LT,10,0
2023,SMU,Jordan Hudson,WR,9,4
2023,SMU,Jordan Miller,IDL,9,-8
2023,SMU,Camar Wheaton,RB,9,5
2023,SMU,Je'lin Samuels,Edge,8,-2
2023,SMU,Romello Brinson,WR,8,2
2023,SMU,JaQwondis Burns,LB,8,3
2023,SMU,Brandon Crossley,CB,7,-1
2023,SMU,Jahari Rogers,CB,7,-5
2023,SMU,DeVere Levelston,IDL,6,-8
2023,SMU,Mike Yoan Sandjo-Njiiki,IDL,5,-2
2023,SMU,Jakai Clark,RG,5,2
2023,SMU,Key'Shawn Smith,WR,5,-1
2023,SMU,Jordan Kerley,WR,3,0
2023,SMU,Nolan Matthews-Harris,TE,2,-1
2023,SMU,Cameron Ervin,LG,2,-1
2023,SMU,LJ Johnson Jr.,RB,1,-4
2023,SMU,Stone Eby,FB,-1,-3
2023,SMU,Tyler Lavine,RB,-2,-6
2023,SMU,Jaylan Knighton,RB,-25,-33
2023,Texas,Quinn Ewers,QB,95,38
2023,Texas,Jaylan Ford,LB,60,29
2023,Texas,T'Vondre Sweat,IDL,46,26
2023,Texas,Jahdae Barron,CB,42,17
2023,Texas,Byron Murphy II,IDL,39,22
2023,Texas,Jerrin Thompson,S,38,15
2023,Texas,Kelvin Banks Jr.,LT,36,8
2023,Texas,Hayden Conner,LG,36,8
2023,Texas,Barryn Sorrell,Edge,34,12
2023,Texas,Christian Jones,RT,34,9
2023,Texas,Anthony Hill Jr.,LB,32,11
2023,Texas,Ja'Tavion Sanders,TE,31,11
2023,Texas,Jake Majors,C,31,5
2023,Texas,Ethan Burke,Edge,30,13
2023,Texas,Terrance Brooks,CB,30,6
2023,Texas,Malik Muhammad,CB,28,9
2023,Texas,DJ Campbell,RG,28,4
2023,Texas,Jonathon Brooks,RB,25,15
2023,Texas,Alfred Collins,IDL,23,9
2023,Texas,Adonai Mitchell,WR,21,7
2023,Texas,Derek Williams Jr.,S,20,5
2023,Texas,Jett Bush,Edge,20,10
2023,Texas,Gunnar Helm,TE,20,5
2023,Texas,David Gbenda,LB,18,2
2023,Texas,Gavin Holmes,CB,15,2
2023,Texas,Vernon Broughton,IDL,15,2
2023,Texas,Ryan Watts,CB,14,-3
2023,Texas,Michael Taaffe,S,14,-4
2023,Texas,Justice Finkley,Edge,12,2
2023,Texas,Jaydon Blue,RB,10,5
2023,Texas,Jalen Catalon,S,9,3
2023,Texas,Jordan Whittington,WR,9,0
2023,Texas,Trill Carter,IDL,8,-2
2023,Texas,Xavier Worthy,WR,8,-5
2023,Texas,Kitan Crawford,S,7,-5
2023,Texas,Morice Blackwell Jr.,LB,6,-1
2023,Texas,Johntay Cook II,WR,4,3
2023,Texas,Maalik Murphy,QB,4,-5
2023,Texas,Jaylon Guilbeau,CB,4,-1
2023,Texas,Cole Hutson,RG,3,-1
2023,Texas,J'Mond Tapp,Edge,3,-1
2023,Texas,Cameron Williams,RT,3,0
2023,Texas,Malik Agbo,LG,2,-2
2023,Texas,Connor Robertson,C,2,-2
2023,Texas,CJ Baxter,RB,-6,-14
2023,Toledo,DeQuan Finn,QB,70,16
2023,Toledo,Emmanuel McNeil-Warren,S,38,15
2023,Toledo,Vinny Sciury,LG,34,9
2023,Toledo,Nick Rosi,LT,33,6
2023,Toledo,Peny Boone,RB,30,19
2023,Toledo,Dallas Gant,LB,30,-5
2023,Toledo,Anthony Torres,TE,29,9
2023,Toledo,Devan Rogers,C,28,0
2023,Toledo,Quinyon Mitchell,CB,27,-2
2023,Toledo,Darius Alexander,IDL,26,0
2023,Toledo,Nate Bauer,S,26,1
2023,Toledo,Chris McDonald,CB,26,-3
2023,Toledo,Maxen Hook,S,26,6
2023,Toledo,Tyler Long,RG,25,-2
2023,Toledo,David Nwaogwugwu,RT,24,-2
2023,Toledo,Jerjuan Newton,WR,21,9
2023,Toledo,Judge Culpepper,IDL,20,0
2023,Toledo,Tucker Gleason,QB,19,9
2023,Toledo,Daniel Bolden,LB,19,-4
2023,Toledo,Deshawn Holt,Edge,18,7
2023,Toledo,RJ Delancy III,CB,18,3
2023,Toledo,Terrance Taylor,Edge,17,2
2023,Toledo,D'Andre Ragin,Edge,17,-1
2023,Toledo,Junior Vandeross III,WR,15,6
2023,Toledo,Jeremiah Peters,Edge,12,3
2023,Toledo,Zachary Ford,CB,9,-25
2023,Toledo,Cavon Butler,IDL,8,-5
2023,Toledo,Esean Carter,IDL,5,1
2023,Toledo,Dalton Andrews,TE,4,-1
2023,Toledo,Devin Maddox,WR,3,-1
2023,Toledo,Martez Poynter,IDL,3,-7
2023,Toledo,Larry Stephens,WR,3,-3
2023,Toledo,Garrett Schwiebert,LT,2,-1
2023,Toledo,Jackson Barrow,LB,2,-4
2023,Toledo,Jaden Dottin,WR,2,-3
2023,Toledo,Eric Holley III,WR,0,-2
2023,Toledo,Adrian Woliver,Edge,0,-12
2023,Toledo,Kendall Major,LG,-1,-5
2023,Toledo,Jacquez Stuart,RB,-1,-9
2023,Toledo,Andre Fuller,CB,-2,-6
2023,Troy,Gunnar Watson,QB,92,28
2023,Troy,Reddy Steward,CB,43,9
2023,Troy,Javon Solomon,Edge,40,17
2023,Troy,Kimani Vidal,RB,39,21
2023,Troy,Richard Jibunor,Edge,38,14
2023,Troy,Dell Pettus,S,38,5
2023,Troy,Caleb Ransaw,CB,33,9
2023,Troy,Derrick Graham,LT,31,3
2023,Troy,O'shai Fletcher,CB,29,-2
2023,Troy,Irshaad Davis,S,28,5
2023,Troy,Daniel King,RG,27,-1
2023,Troy,Grant Betts,RT,27,0
2023,Troy,Keyshawn Swanson,S,26,8
2023,Troy,Jayden McDonald,LB,25,4
2023,Troy,T.J. Jackson,IDL,24,8
2023,Troy,Blake Austin,LG,22,-1
2023,Troy,Jordan Stringer,LB,22,-2
2023,Troy,Don Callis,CB,20,6
2023,Troy,Eli Russ,C,20,-5
2023,Troy,Clayton Ollendieck,TE,18,0
2023,Troy,Buddha Jones,IDL,12,-7
2023,Troy,Raymond Cutts,Edge,11,1
2023,Troy,Ethan Conner,TE,11,3
2023,Troy,Chris Lewis,WR,10,0
2023,Troy,Terry Thomas,LB,10,-9
2023,Troy,Luis Medina,IDL,9,-1
2023,Troy,Zach Edwards,IDL,8,-2
2023,Troy,Chris Rodgers,CB,7,1
2023,Troy,Deshon Stoudemire,WR,6,-1
2023,Troy,Carson Burt,RT,5,-2
2023,Troy,AJ Pierce,IDL,4,-11
2023,Troy,Phillip Lee,Edge,3,-4
2023,Troy,Jabre Barber,WR,3,-6
2023,Troy,Brody Dalton,TE,2,-3
2023,Troy,Deyunkrea Lewis,TE,2,-2
2023,Troy,Damien Taylor,RB,1,-3
2023,Troy,Steven Cattledge,LB,1,-4
2023,Troy,Peyton Higgins,WR,0,-2
2023,Troy,Devonte Ross,WR,0,-7
2023,Troy,Colby Smith,LG,0,-3
2023,Troy,Landon Parker,WR,0,-3
2023,Troy,Marcus Rogers,WR,-2,-3
2023,Tulane,Michael Pratt,QB,68,20
2023,Tulane,Jarius Monroe,CB,55,26
2023,Tulane,Tyler Grubbs,LB,41,15
2023,Tulane,Makhi Hughes,RB,37,22
2023,Tulane,Devean Deal,Edge,36,16
2023,Tulane,Lance Robinson,CB,35,6
2023,Tulane,Patrick Jenkins,IDL,32,3
2023,Tulane,Sincere Haynesworth,C,32,4
2023,Tulane,Cameron Wire,LT,29,1
2023,Tulane,Jesus Machado,LB,27,1
2023,Tulane,Keith Cooper,IDL,26,2
2023,Tulane,Kam Pedescleaux,CB,26,-8
2023,Tulane,Kameron Hamilton,IDL,22,8
2023,Tulane,DJ Douglas,S,22,-3
2023,Tulane,Shadre Hurst,LG,21,1
2023,Tulane,Jared Small,LB,20,2
2023,Tulane,Bailey Despanie,S,19,-11
2023,Tulane,Darius Hodges,Edge,18,3
2023,Tulane,Rashad Green,RT,17,-6
2023,Tulane,Chris Brazzell II,WR,17,7
2023,Tulane,Josh Remetich,RG,14,-4
2023,Tulane,Chris Carter,TE,14,2
2023,Tulane,Eric Hicks Jr.,IDL,14,-6
2023,Tulane,A.J. Hampton,CB,13,0
2023,Tulane,Yulkieth Brown,WR,12,5
2023,Tulane,Prince Pines,LG,11,-3
2023,Tulane,Kentrell Webb,S,10,4
2023,Tulane,Alex Bauman,TE,10,-9
2023,Tulane,Reggie Brown,TE,8,-1
2023,Tulane,Jha'Quan Jackson,WR,8,3
2023,Tulane,Darius Swanson,S,7,0
2023,Tulane,Lawrence Keys III,WR,7,0
2023,Tulane,Kai Horton,QB,6,-8
2023,Tulane,Trey Tuggle,RT,5,-4
2023,Tulane,Angelo Anderson,IDL,4,-7
2023,Tulane,Shaadie Clayton-Johnson,RB,3,-1
2023,Tulane,Adonis Friloux,IDL,3,-3
2023,Tulane,Bryce Bohanon,WR,0,-5
2023,Tulane,Dontae Fleming,WR,0,-3
2023,Washington,Michael Penix Jr.,QB,166,83
2023,Washington,Dominique Hampton,S,53,19
2023,Washington,Jabbar Muhammad,CB,52,19
2023,Washington,Bralen Trice,Edge,51,19
2023,Washington,Elijah Jackson,CB,50,22
2023,Washington,Edefuan Ulofoshio,LB,42,21
2023,Washington,Roger Rosengarten,RT,41,12
2023,Washington,Rome Odunze,WR,37,21
2023,Washington,Parker Brailsford,C,37,9
2023,Washington,Carson Bruener,LB,35,20
2023,Washington,Mishael Powell,CB,35,5
2023,Washington,Troy Fautanu,LT,34,5
2023,Washington,Dillon Johnson,RB,33,18
2023,Washington,Nate Kalepo,LG,32,5
2023,Washington,Alphonzo Tuputala,LB,28,7
2023,Washington,Ja'Lynn Polk,WR,26,10
2023,Washington,Voi Tunuufi,IDL,23,9
2023,Washington,Kamren Fabiculanan,S,21,7
2023,Washington,Julius Buelow,RG,20,0
2023,Washington,Tuli Letuligasenoa,IDL,19,5
2023,Washington,Asa Turner,S,19,10
2023,Washington,Thaddeus Dixon,CB,18,5
2023,Washington,Zion Tupuola-Fetui,Edge,14,-7
2023,Washington,Jack Westover,TE,13,-2
2023,Washington,Ulumoo Ale,IDL,13,-1
2023,Washington,Devin Culp,TE,12,3
2023,Washington,Vincent Nunley,S,11,3
2023,Washington,Jalen McMillan,WR,9,1
2023,Washington,Josh Cuevas,TE,8,5
2023,Washington,Geirean Hatchett,RG,8,0
2023,Washington,Ralen Goforth,LB,8,-6
2023,Washington,Makell Esteen,S,8,-3
2023,Washington,Germie Bernard,WR,8,0
2023,Washington,Jacob Bandes,IDL,7,-3
2023,Washington,Matteo Mele,C,6,2
2023,Washington,Tybo Rogers,RB,6,3
2023,Washington,Landen Hatchett,C,3,-1
2023,Washington,Sekai Asoau-Afoa,Edge,3,-12
2023,Washington,Will Nixon,RB,3,-2
2023,Washington,Jacob Lane,IDL,3,-1
2023,Washington,Quentin Moore,TE,2,-3
2023,Washington,Giles Jackson,WR,2,-1
2023,Washington,Jayvon Parker,IDL,1,-6
2023,Washington,Faatui Tuitele,IDL,-1,-16
2023,Washington,Denzel Boston,WR,-2,-4
2024,Arizona State,Sam Leavitt,QB,122,67
2024,Arizona State,Cam Skattebo,RB,100,86
2024,Arizona State,Keith Abney II,CB,50,17
2024,Arizona State,Javan Robinson,CB,40,10
2024,Arizona State,Myles Rowser,S,40,7
2024,Arizona State,Xavion Alford,S,39,5
2024,Arizona State,Caleb McCullough,LB,36,18
2024,Arizona State,Leif Fautanu,C,34,6
2024,Arizona State,Ben Coleman,LG,34,6
2024,Arizona State,Shamari Simmons,CB,31,0
2024,Arizona State,Jordan Crook,LB,30,15
2024,Arizona State,Clayton Smith,Edge,28,7
2024,Arizona State,Laterrance Welch,CB,26,19
2024,Arizona State,Keyshaun Elliott,LB,23,4
2024,Arizona State,C.J. Fite,IDL,23,4
2024,Arizona State,Justin Wodtly,Edge,21,8
2024,Arizona State,Josh Atkins,LT,21,-3
2024,Arizona State,Max Iheanachor,RT,20,-6
2024,Arizona State,Elijah O'Neal,Edge,19,1
2024,Arizona State,Kyle Scott,RG,19,-1
2024,Arizona State,Zyrus Fiaseu,LB,16,2
2024,Arizona State,Jeff Clark,IDL,16,-1
2024,Arizona State,Jordyn Tyson,WR,15,6
2024,Arizona State,Chamon Metayer,TE,14,-3
2024,Arizona State,Kyson Brown,RB,12,7
2024,Arizona State,Zac Swanson,IDL,12,1
2024,Arizona State,Prince Dorbah,Edge,11,-5
2024,Arizona State,Jacob Rich Kongaika,IDL,10,-4
2024,Arizona State,Xavier Guillory,WR,8,-2
2024,Arizona State,Martell Hughes,LB,7,2
2024,Arizona State,Cameron Harpole,TE,6,0
2024,Arizona State,Markeston Douglas,TE,6,0
2024,Arizona State,Kamari Wilson,S,6,2
2024,Arizona State,Malik McClain,WR,5,4
2024,Arizona State,Cade Briggs,RG,5,-4
2024,Arizona State,Jeff Sims,QB,5,0
2024,Arizona State,Emmit Bohle,LT,5,-1
2024,Arizona State,Melquan Stovall,WR,3,-6
2024,Arizona State,Blazen Lono-Wong,IDL,3,-2
2024,Arizona State,Troy Omeire,WR,3,0
2024,Arizona State,Jake Smith,WR,-7,-9
2024,Army,Bryson Daily,QB,44,19
2024,Army,Brady Small,C,42,12
2024,Army,Lucas Scott,RT,42,14
2024,Army,Connor Finucane,LT,40,12
